
2024/10/01 (13:15:42) | ===> btop++ v.1.4.0
2024/10/01 (13:15:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/01 (13:24:51) | ===> btop++ v.1.4.0
2024/10/01 (13:24:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/01 (13:27:09) | ===> btop++ v.1.4.0
2024/10/01 (13:27:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/01 (15:36:17) | ===> btop++ v.1.4.0
2024/10/01 (15:36:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/01 (16:19:48) | ===> btop++ v.1.4.0
2024/10/01 (16:19:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/01 (16:25:39) | ===> btop++ v.1.4.0
2024/10/01 (16:25:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/01 (16:54:25) | ===> btop++ v.1.4.0
2024/10/01 (16:54:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/01 (16:55:54) | ===> btop++ v.1.4.0
2024/10/01 (16:55:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/01 (17:05:09) | ===> btop++ v.1.4.0
2024/10/01 (17:05:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/01 (17:30:52) | ===> btop++ v.1.4.0
2024/10/01 (17:30:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/01 (17:34:01) | ===> btop++ v.1.4.0
2024/10/01 (17:34:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/01 (17:48:15) | ===> btop++ v.1.4.0
2024/10/01 (17:48:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/02 (08:11:00) | ===> btop++ v.1.4.0
2024/10/02 (08:11:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/01 (23:15:02) | ===> btop++ v.1.4.0
2024/10/01 (23:15:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/01 (23:21:08) | ===> btop++ v.1.4.0
2024/10/01 (23:21:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
